Id,Name
"Canonical.Ubuntu.2204","Ubuntu 22.04 LTS"
"Discord.Discord","Discord"
"GitHub.GitHubDesktop","GitHub Desktop"
"Git.Git","Git"
"Google.Chrome.EXE","Google Chrome (EXE)"
"REALiX.HWiNFO","HWiNFO"
"Microsoft.Edge","Microsoft Edge"
"Microsoft.EdgeWebView2Runtime","Microsoft Edge WebView2 Runtime"
"Microsoft.AppInstaller","App Installer"
"Microsoft.UI.Xaml.2.7","Microsoft.UI.Xaml"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml"
"Microsoft.VCLibs.Desktop.14","Microsoft Visual C++ 2015 UWP Desktop Runtime Package"
"Microsoft.WindowsTerminal","Windows Terminal"
"Postman.Postman","Postman"
"RARLab.WinRAR","WinRAR"
"ApacheFriends.Xampp.8.2","XAMPP 8.2"
"Microsoft.WindowsPCHealthCheck","Windows PC Health Check"
"Microsoft.WindowsInstallationAssistant","Windows 11 Installation Assistant"
"Python.Launcher","Python Launcher"
"XP89DCGQ3K6VLD","Microsoft PowerToys"
"Python.Python.3.12","Python 3.12"
"Microsoft.VisualStudioCode","Microsoft Visual Studio Code"
"Oracle.VirtualBox","Oracle VM VirtualBox"
"Microsoft.VCRedist.2015+.x64","Microsoft Visual C++ 2015-2022 Redistributable (x64)"
